Serial Number,Artist,Song Name,Year,Spotify URL
SN-037,Styles Of Beyond,Nine Thou (Grant Mohrman Superstars Remix) (Clean),2007,https://open.spotify.com/track/5yT7P2ZY99C373vtcYWVHx
SN-038,Band Of Skulls,You're Not Pretty But You Got It Goin' On,2012,https://open.spotify.com/track/01QNnWF01XKVkqXJnQCErw
SN-039,Beware Of Darkness,Howl,2013,https://open.spotify.com/track/6E9jW8Jvfugo08sS1Wk1Wf
SN-040,Dead Sara,Weatherman,2012,https://open.spotify.com/track/0aDmudjjboRLuCaf93k2JJ
SN-041,Heaven's Basement,I Am Electric,2013,https://open.spotify.com/track/1wPVBFSy3rs8dcgt5SrmYz
SN-042,Airbourne,Blackjack,2007,https://open.spotify.com/track/4P7rljZxoO2qWQYUWx7gZz
SN-043,Junkie XL,More - Junk O Rock Remix,2007,https://open.spotify.com/track/3ePepkguFZevMoowgPSbyB
SN-044,Blur,Song 2,2000,https://open.spotify.com/track/3GfOAdcoc3X5GPiiXmpBjK
SN-045,Guano Apes,Open Your Eyes,2006,https://open.spotify.com/track/2XZrTdeKze2V9nWueft63G
SN-046,Guano Apes,Lords of the Boards,2006,https://open.spotify.com/track/0hVHEfyv50IWtTzEvxJl4Z
SN-047,Guano Apes,Big in Japan,2006,https://open.spotify.com/track/496OdUw61my376Fe7OM4s6
