Serial Number,Artist,Song Name,Year,Spotify URL
SN-089,The Proclaimers,I'm Gonna Be (500 Miles),2003,https://open.spotify.com/track/66S14BkJDxgkYxLl5DCqOz
SN-090,LP,Muddy Waters,2016,https://open.spotify.com/track/3goq2qwOgJsClSo5nESImD
SN-091,Johnny Cash,I Walk the Line,1970,https://open.spotify.com/track/7hxZF4jETnE5Q75rKQnMjE
SN-092,Simon & Garfunkel,The Sound of Silence,1968,https://open.spotify.com/track/2LkaNhCrNVmcYgXJeLVmsw
SN-093,Vangelis,Chariots Of Fire,1989,https://open.spotify.com/track/0JKaYO3e4sKgkshtuFqzqB
SN-094,Epic Soul Factory,Made of Stardust,2015,https://open.spotify.com/track/2L51wj0kuE9p2ODMbHqdNx
SN-095,Backspace,Requiem for a Dream - Original Mix,2014,https://open.spotify.com/track/34NdoGtFuJyBIrKsy0rQKm
SN-096,Scott Benson Band,Requiem for a Dream,2015,https://open.spotify.com/track/1lycZ6BCUETp0NauGdZbsm
SN-097,Sigur Rós,Hoppípolla,2005,https://open.spotify.com/track/6eTGxxQxiTFE6LfZHC33Wm
SN-098,Vangelis,Conquest of Paradise,1992,https://open.spotify.com/track/5avVpUakfMHD6qGpaH26CF
SN-099,Natasha Blume,Journey (Ready to Fly),2016,https://open.spotify.com/track/3Kz67OAyhdiRwoNqYwowYf
SN-100,Natasha Blume,Black Sea,2016,https://open.spotify.com/track/5XMYHUrX71sStmDNqJoyPZ
