Serial Number,Artist,Song Name,Year,Spotify URL
Card-078,Monkey3,Icarus,2013,https://open.spotify.com/track/1Gk6Kr4etCeVxrCvy8zxXS
Card-079,Johnny Cash,Hurt,2002,https://open.spotify.com/track/1med9ijNdCwxnyS8vBpfhR
Card-080,Bob Dylan,The Times They Are A-Changin',1964,https://open.spotify.com/track/52vA3CYKZqZVdQnzRrdZt6
Card-081,Phantogram,You're Mine,2016,https://open.spotify.com/track/2OFqJdH62kdICQqtFgIVKy
Card-082,Fatboy Slim,Praise You - Radio Edit,2006,https://open.spotify.com/track/2tn9zXqIZJbgL1swqwOktz
Card-083,Aloe Blacc,I Need A Dollar,2010,https://open.spotify.com/track/25R6UFrB9DKhEWkNhOLe5u
Card-084,Natasha Bedingfield,These Words,2004,https://open.spotify.com/track/6QLU1GKy2Zh2mOh2uoJ0TV
Card-085,Eurythmics,Sweet Dreams (Are Made of This) - 2005 Remaster,1983,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS
Card-086,The Smashing Pumpkins,1979,1995,https://open.spotify.com/track/5KRRcT67VNIZUygEbMoIC1
Card-087,Pretty Lights,I Can See It In Your Face,2010,https://open.spotify.com/track/5A37UCV7aPjhp1RSocVBfc
Card-088,Pretty Lights,Hot Like Sauce,2008,https://open.spotify.com/track/7zbq8RT5Kd3ExOGVTiUQbR
Card-089,The Proclaimers,I'm Gonna Be (500 Miles),2003,https://open.spotify.com/track/66S14BkJDxgkYxLl5DCqOz
Card-090,LP,Muddy Waters,2016,https://open.spotify.com/track/3goq2qwOgJsClSo5nESImD
Card-091,Johnny Cash,I Walk the Line,1970,https://open.spotify.com/track/7hxZF4jETnE5Q75rKQnMjE
Card-092,Simon & Garfunkel,The Sound of Silence,1968,https://open.spotify.com/track/2LkaNhCrNVmcYgXJeLVmsw
Card-093,Vangelis,Chariots Of Fire,1989,https://open.spotify.com/track/0JKaYO3e4sKgkshtuFqzqB
Card-094,Epic Soul Factory,Made of Stardust,2015,https://open.spotify.com/track/2L51wj0kuE9p2ODMbHqdNx
Card-095,Backspace,Requiem for a Dream - Original Mix,2014,https://open.spotify.com/track/34NdoGtFuJyBIrKsy0rQKm
Card-096,Scott Benson Band,Requiem for a Dream,2015,https://open.spotify.com/track/1lycZ6BCUETp0NauGdZbsm
Card-097,Sigur Rós,Hoppípolla,2005,https://open.spotify.com/track/6eTGxxQxiTFE6LfZHC33Wm
Card-098,Vangelis,Conquest of Paradise,1992,https://open.spotify.com/track/5avVpUakfMHD6qGpaH26CF
Card-099,Natasha Blume,Journey (Ready to Fly),2016,https://open.spotify.com/track/3Kz67OAyhdiRwoNqYwowYf
Card-100,Natasha Blume,Black Sea,2016,https://open.spotify.com/track/5XMYHUrX71sStmDNqJoyPZ
Card-101,Stevie Nicks,Edge of Seventeen,2007,https://open.spotify.com/track/2id8E4WvczfKHB4LHI7Np3
Card-102,Sam And The Womp,Bom Bom - Radio Edit,2012,https://open.spotify.com/track/0d5f6gzzW1Pgx9uJsLrSDP
Card-103,Anima Sound System,Muezzin,2003,https://open.spotify.com/track/6sZUH060CNAa3Naa2y9Z6D
Card-104,Silver Maple,Diaphanous Dreamcoats,2016,https://open.spotify.com/track/0gfMlE9godHnSRphmYtg5f
Card-105,William Wild,Feather,2014,https://open.spotify.com/track/319oz9XXLzxEDOykPBMbzh
Card-106,Jain,Makeba - Radio Edit,2016,https://open.spotify.com/track/5FkBFIGzG8lYFktLyZNUq6
Card-107,Kings of Leon,Taper Jean Girl,2004,https://open.spotify.com/track/3HWBHzcsp0tj32F81Cdmfq
Card-108,Jain,Come,2016,https://open.spotify.com/track/1YrC8s6yZWw23QxW6rfM9f
Card-109,Jain,Dynabeat,2016,https://open.spotify.com/track/2n1Bg0FjuKy7YEKrGyheay
Card-110,Jain,Makeba,2016,https://open.spotify.com/track/5JdLUE9D743ob2RtgmVpVx
Card-111,Sigur Rós,Glósóli,2005,https://open.spotify.com/track/1JfyhapKDVF6e6U5HXn3Fd
Card-112,Gary Jules,Mad World,2001,https://open.spotify.com/track/3JOVTQ5h8HGFnDdp4VT3MP
Card-113,Adam Torres,Morning Rain,2016,https://open.spotify.com/track/4k07R3Sm35MJ3uzVn1RGH7
Card-114,Melody Gardot,Morning Sun,2015,https://open.spotify.com/track/45DwTjE53b6OwkBmW6iSDz
Card-115,Electric Youth,A Real Hero,2014,https://open.spotify.com/track/3wQ2F1MjiNMENmvy4xUeXy
Card-116,Yusuf / Cat Stevens,The Wind,1971,https://open.spotify.com/track/1L70BbUDG0C4EJQ1ZF10sG
Card-117,David Bowie,Space Oddity,1997,https://open.spotify.com/track/2pBcr9iBC4uULs3Xz7q8Qh
Card-118,Marvin Gaye,Ain't No Mountain High Enough,1967,https://open.spotify.com/track/2H3ZUSE54pST4ubRd5FzFR
Card-119,Stevie Wonder,Superstition - Single Version,2007,https://open.spotify.com/track/300RfAPZ57B0y6YYj9n6DN
Card-120,Thievery Corporation,Let The Chalice Blaze,2017,https://open.spotify.com/track/4pDeigJyLKpkOA14ZllSQP
Card-121,Thievery Corporation,La Femme Parallel,2008,https://open.spotify.com/track/6gwPxZx8450DDd6dsS2vAJ
Card-122,Texada,All My Life,2016,https://open.spotify.com/track/6k6Xy90pBNwNzbJFm05sUj
Card-123,Chase & Status,Like That,2013,https://open.spotify.com/track/14eWduPvp3szn0zmc2BhzI
Card-124,Loscil,Anthropocene,2016,https://open.spotify.com/track/6RpxkUXO7RSjBWlwytnKcn
Card-125,Roberta Flack,Killing Me Softly With His Song,1993,https://open.spotify.com/track/6btetw0crEcjUKlQ4RO86f
Card-126,Imagine Dragons,Believer,2017,https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4
Card-127,Enya,Orinoco Flow - 2009 Remaster,1988,https://open.spotify.com/track/4bQNusmmVudLxIiexglzh6
Card-128,Enya,The Humming,2015,https://open.spotify.com/track/15Zt4Z0N6JMwyNp1vLQNfi
Card-129,Enya,So I Could Find My Way,2015,https://open.spotify.com/track/2ImwOBqAHn3mHyLJ4HBTbk
Card-130,Imagine Dragons,Warriors,2015,https://open.spotify.com/track/2Heh0PiDG6F9fUHID8XV0Z
Card-131,Damian Marley,Road To Zion,2005,https://open.spotify.com/track/0BEEASlZ9ZCLYA4NBtPor8
Card-132,Pretty Lights,Finally Moving,2006,https://open.spotify.com/track/3WS7spXVlbeC5kjePmHMQW
Card-133,Burt Bacharach,I'll Never Fall in Love Again,1999,https://open.spotify.com/track/5aYR2yKYdcWxX7gAO2CYps
Card-134,ERA,Ameno,2002,https://open.spotify.com/track/7gov7ugWx71Oi6OQoxGLfS
Card-135,ERA,Divano,2004,https://open.spotify.com/track/4ylVzBBTAlw1NOwL37hKpc
Card-136,ERA,The Mass,2003,https://open.spotify.com/track/7D43ocuejon2QmaOHkQJm0
Card-137,Jamie Berry,Delight,2012,https://open.spotify.com/track/36kaImsnzRzsU6L4cvWP6s
Card-138,Antele Prox.,A Friend Like Me - Original Mix,2017,https://open.spotify.com/track/1M6XbocM5f483vYRa52Zzj
Card-139,Ray Charles,Hit the Road Jack,2012,https://open.spotify.com/track/49fzPkBb3aOUWYRKaTWVhm
Card-140,Hozier,In The Woods Somewhere,2014,https://open.spotify.com/track/2uVa2CxC67xq5JWQazKOAa
Card-141,Johnny Cash,Rusty Cage,1996,https://open.spotify.com/track/3qzOTSO0qfw8n3ZMA2zBIk
Card-142,Daniel Lenz,The Darkest Hour,2013,https://open.spotify.com/track/7B4LwUM4OaI4mGiOUsrgzY
Card-143,Michael Jackson,Thriller,2017,https://open.spotify.com/track/7azo4rpSUh8nXgtonC6Pkq
Card-144,Diana Ross,Missing You,1984,https://open.spotify.com/track/1HuRBDVbTUnhDxOSNOgEO5
Card-145,The Dubliners,The Rocky Road to Dublin - Live,1964,https://open.spotify.com/track/6Mer1LOfJDd7vUbeWXODrq
Card-146,Dan Romer,Help Me Faith,2018,https://open.spotify.com/track/4c86vSmmzcIO4x21LuD7XM
Card-147,Thievery Corporation,Lebanese Blonde,2000,https://open.spotify.com/track/488E8BWYDCDrL6vunOAzPy
Card-148,The xx,Intro,2009,https://open.spotify.com/track/0bXpmJyHHYPk6QBFj25bYF
Card-149,John Denver,"Take Me Home, Country Roads - Rerecorded",1997,https://open.spotify.com/track/2xYlyywNgefLCRDG8hlxZq
Card-150,Nömak,Run the Spring - Vivaldi Rework,2017,https://open.spotify.com/track/4Iw7621PztMncty0PwpkQu
Card-151,Adrian Von Ziegler,Prophecy,2012,https://open.spotify.com/track/4LDXnOCkx6f7jo23c1zFaV
Card-152,Trills,Speak Loud,2018,https://open.spotify.com/track/1sK0EeRju1WhFyl10o9o2G
Card-153,Ruelle,Game of Survival,2016,https://open.spotify.com/track/7jJTRLLwHQsHtBBYCCmqQR
Card-154,Massive Attack,Angel,1998,https://open.spotify.com/track/7uv632EkfwYhXoqf8rhYrg
Card-155,Massive Attack,Teardrop,1998,https://open.spotify.com/track/67Hna13dNDkZvBpTXRIaOJ
Card-156,Massive Attack,Sly - Remastered 2006,2006,https://open.spotify.com/track/1Wax00lAttkdfXIbBjiTmk
Card-157,Massive Attack,Safe From Harm - Remastered 2006,2006,https://open.spotify.com/track/63mAlBTOXTBjPW1B9JaNtN
Card-158,Massive Attack,Unfinished Sympathy - Remastered 2006,2006,https://open.spotify.com/track/10CiC7n8xCJJpbNcBpHsXc
Card-159,Bonobo,Days To Come,2006,https://open.spotify.com/track/1mRTSIs40qa2L7omBzQd1u
Card-160,The New Law,Get Your Gun,2012,https://open.spotify.com/track/5kNylCZROyCVQyuVYa2bxG
Card-161,The 1975,Love Me,2016,https://open.spotify.com/track/2HklyUw3TR56nVyVJAIhw5
Card-162,Aliotta Haynes Jeremiah,Lake Shore Drive,1972,https://open.spotify.com/track/46MX86XQqYCZRvwPpeq4Gi
Card-163,London Grammar,Everyone Else,2017,https://open.spotify.com/track/5vcq8gWovXyF8JIZWqKhEC
Card-164,Mat Bastard,Grave of the Broken Dreams,2018,https://open.spotify.com/track/0kFlLbvaq0UU83gOVRsoKE
Card-165,Heilung,Alfadhirhaiti,2015,https://open.spotify.com/track/3q1E11mgVSBDa70k5XOHIp
Card-166,Kirsty Hawkshaw,Reach for Me,2005,https://open.spotify.com/track/4stcNVqYnPkKWZ9VFIUnl5
Card-167,Delerium,Nature's Kingdom (feat. Kirsty Hawkshaw),2005,https://open.spotify.com/track/2dRO1kt0I4XyrBgGTBZSfP
Card-168,Delerium,Terra Firma (feat. Aude),2001,https://open.spotify.com/track/0fuQ65fX8W94q6QwTFyqgI
Card-169,Delerium,Daylight,2001,https://open.spotify.com/track/2zCe8N2TnXuNLwoeGLjk5T
Card-170,Delerium,Innocente,2001,https://open.spotify.com/track/2anPCw04lebHyjE94E0rXH
Card-171,Delerium,Aria,2001,https://open.spotify.com/track/0ag30l58uSgUnNNJFfvfhq
Card-172,Delerium,Fallen Icons (feat. Jenifer McLaren),2001,https://open.spotify.com/track/6tSgx0vnHZAZkgy9xGnJj1
Card-173,Enigma,Return To Innocence,1993,https://open.spotify.com/track/2UKkLqST2xWpK8n1b0Xr5Z
Card-174,Enigma,Push The Limits,2000,https://open.spotify.com/track/6G9F2G2iCvHWHbCzS17NhP
Card-175,Enigma,Gravity Of Love,2000,https://open.spotify.com/track/3RSMFb9dHXNWZw8YwYGepI
Card-176,Enigma,Sadeness,2001,https://open.spotify.com/track/57h06SZNL6LJ3YKZ1UGCeu
Card-177,Enigma,Principles Of Lust: Sadeness / Find Love / Sadeness (Reprise),1990,https://open.spotify.com/track/6YyqULhTNU7AKaKJKChluQ
Card-178,Enigma,Mea Culpa,1990,https://open.spotify.com/track/5Q1WrsTDRJQXKlqLUo8YkG
Card-179,Enigma,The Eyes Of Truth,1993,https://open.spotify.com/track/15zUyQPa91SOSeBf3w4ofr
Card-180,Enigma,Déjà Vu,2008,https://open.spotify.com/track/5aeT0ug8aEM2UZYUUKG14e
Card-181,Enigma,Voyageur,2003,https://open.spotify.com/track/2Cb0aekZLZnTnZxKhwVazS
Card-182,Enigma,Boum-Boum - Radio Edit,2003,https://open.spotify.com/track/2MiSSBvMrIsHdEuhf1SYQf
Card-183,Conjure One,Center Of The Sun,2002,https://open.spotify.com/track/2uyhhyy1VsqAuEsQnfbh0z
Card-184,Conjure One,Tidal Pool,2002,https://open.spotify.com/track/1Wge0BwrCkcpSVv1ABPN53
Card-185,Conjure One,Manic Star,2002,https://open.spotify.com/track/6jCRPZTTuqZXzotDYtUMxV
Card-186,Conjure One,Redemption,2002,https://open.spotify.com/track/6cPcLhahEOOJk0dhtZboGD
Card-187,Conjure One,Forever Lost,2005,https://open.spotify.com/track/3ZLmOQBcMTDjbROvWumWxP
Card-188,Conjure One,Oceanic,2015,https://open.spotify.com/track/60Breyy9Li8f54G6v3aZTy
Card-189,Conjure One,Endless Dream,2005,https://open.spotify.com/track/3WF1Ox2GkmQLx3eXYpeOvY
Card-190,Snoh Aalegra,Nothing Burns Like The Cold,2017,https://open.spotify.com/track/27tCCThExMJEQh7lMp3Sd4
Card-191,Ólafur Arnalds,re:member,2018,https://open.spotify.com/track/6wUU6ff7O1jlE4NOrv01gI
Card-192,Ólafur Arnalds,brot,2018,https://open.spotify.com/track/1MjgqS0UuDJc0nfwVLKSXy
Card-193,Tycho,Awake,2014,https://open.spotify.com/track/2qC1sUo8xxRRqYsaYEdDuZ
Card-194,Tycho,Epoch,2016,https://open.spotify.com/track/5EeNRe6Fi29tTrssVzl4dw
Card-195,Scott Bradlee's Postmodern Jukebox,Dream On,2016,https://open.spotify.com/track/5xatbZbGCMhKLvxcuLo9sw
Card-196,Bonobo,No Reason,2017,https://open.spotify.com/track/3aWPdd6U1xbsIEGEpUaPyQ
Card-197,Caro Emerald,A Night Like This,2010,https://open.spotify.com/track/75gJSgyAkXjzViIocoJXiY
Card-198,Nils Frahm,All Melody,2018,https://open.spotify.com/track/1eQb8HifNj4vxKc02UirA5
Card-199,Nils Frahm,Fundamental Values,2018,https://open.spotify.com/track/5gYS3UkhW54RR7jYqvgVV8
Card-200,Johnny Cash,Ain't No Grave,2010,https://open.spotify.com/track/1xADYlM5rjnbJvAW2tc0qF
Card-201,Mattafix,Big City Life,2005,https://open.spotify.com/track/4stm6lf1vQBSl7Eq4Npzr0
Card-202,Drake,Don’t Matter To Me (with Michael Jackson),2018,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
Card-203,Johnny Cash,God's Gonna Cut You Down,2006,https://open.spotify.com/track/6jXPZid0KLorvgIDP6TiSo
Card-204,Dead Posey,God's Gonna Cut You Down,2018,https://open.spotify.com/track/217t1egcTuaYTkyfEBPeLz
